IPV6移动专用,#genre#
凤凰卫视,http://[2409:8087:280c:23::3a]/wh7f454c46tw2378956469_-497977238/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236260/index.m3u8?icpid=88888888&from=9&vqe=3&RTS=1717808908&hms_devid=2450&online=1717808908
凤凰资讯台,http://[2409:8087:280c:23::14]/wh7f454c46tw3724133113_1590560438/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236197/index.m3u8?icpid=88888888&from=9&vqe=3&RTS=1717810253&hms_devid=1937&online=1717810253
CCTV-1,http://[2409:8087:280c:23::3a]/wh7f454c46tw2378956469_-497977238/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236222/index.m3u8?
CCTV-2,http://[2409:8087:280c:23::3a]/wh7f454c46tw2378956469_-497977238/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236163/index.m3u8?
CCTV-3,http://[2409:8087:280c:23::3a]/wh7f454c46tw2378956469_-497977238/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236244/index.m3u8?
CCTV-4,http://[2409:8087:280c:23::3a]/wh7f454c46tw2378956469_-497977238/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236258/index.m3u8?
CCTV-4美洲,http://[2409:8087:280c:23::3a]/wh7f454c46tw2378956469_-497977238/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236335/index.m3u8?
CCTV-4欧洲,http://[2409:8087:280c:23::3a]/wh7f454c46tw2378956469_-497977238/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236378/index.m3u8?
CCTV-5,http://[2409:8087:280c:23::3a]/wh7f454c46tw2378956469_-497977238/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236175/index.m3u8?
CCTV-5+,http://[2409:8087:280c:23::3a]/wh7f454c46tw2378956469_-497977238/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236306/index.m3u8?
CCTV-6,http://[2409:8087:280c:23::3a]/wh7f454c46tw2378956469_-497977238/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236256/index.m3u8?
CCTV-7,http://[2409:8087:280c:23::3a]/wh7f454c46tw2378956469_-497977238/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236219/index.m3u8?
CCTV-8,http://[2409:8087:280c:23::3a]/wh7f454c46tw2378956469_-497977238/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236512/index.m3u8?
